,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
66,San Francisco,1936,115,"Drama,Musical,Romance",7.2,"5,254",d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
67,The Story of Louis Pasteur,1936,86,"Biography,Drama,History",7.3,"2,601",40acf99f-bc62-45ee-a766-0297530113d1
68,A Tale of Two Cities,1935,128,"Drama,History,Romance",7.8,"5,508",da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
69,Three Smart Girls,1936,84,"Comedy,Musical,Romance",6.7,"1,344",8866b966-f0a8-4881-88f6-ac7c24e9e1e5
70,The Life of Emile Zola,1937,116,"Biography,Drama",7.2,"7,771",0538990c-5cfe-4b21-b733-386740e5cbd6
71,The Awful Truth,1937,90,"Comedy,Romance",7.7,"18,721",fe542b19-4de9-465d-8b97-19ff88872e56
72,Captains Courageous,1937,117,"Adventure,Drama,Family",8.0,"9,243",bb80b913-a013-4ff1-8c07-7e0ff28c4557
73,Dead End,1937,93,"Crime,Drama,Film-Noir",7.3,"7,083",5df24f1d-57f8-4d1d-a15d-df07ea5715b1
74,The Good Earth,1937,138,"Drama,Romance",7.5,"4,753",6d9e1900-6589-43ae-b80f-863d03cbbdaa
75,In Old Chicago,1938,95,"Action,Drama,Musical",6.8,"2,233",1957aeb5-48c9-423c-8a3d-1f918ba388d2
76,Lost Horizon,1937,132,"Adventure,Drama,Fantasy",7.7,"12,513",20f2a079-71bd-4c1c-aff7-46237962b8cb
77,One Hundred Men and a Girl,1937,84,"Comedy,Drama,Music",6.8,"1,029",c3d7ac23-64c7-48e5-8aba-c2af3f5b23eb
78,Stage Door,1937,92,"Comedy,Drama",7.8,"8,040",5a739df8-434b-46e9-82c0-9b8f71c9c946
79,A Star Is Born,1937,111,"Drama,Romance",7.3,"9,301",ea80da77-0642-48c5-a2eb-1d03fb856d2f
80,You Can't Take It with You,1938,126,"Comedy,Drama,Romance",7.9,"24,466",7530ae81-5165-4431-8a05-5e3a75811021
81,The Adventures of Robin Hood,1938,102,"Action,Adventure,Romance",7.9,"49,004",bec32b70-fccd-4f50-b68d-88cca2d2fc7b
82,Alexander's Ragtime Band,1938,106,"Drama,Music,Musical",6.9,"2,042",a380741f-f2ba-415d-a5b5-f81f826f93a7
83,Boys Town,1938,96,"Biography,Drama",7.3,"5,449",ebce9bc4-4abc-4b48-929f-30a29b1edd7d
84,The Citadel,1938,110,Drama,7.1,"2,047",84a31ac1-04d7-4810-af0a-b639d529f159
85,Four Daughters,1938,90,"Drama,Music,Romance",6.9,"1,881",bf7bd76e-f5f7-4a5a-a24e-6ce226a605e9
86,Grand Illusion,1937,113,"Drama,War",8.1,"35,191",121b4de3-2e42-45eb-a8cc-f4496df79d8a
87,Jezebel,1938,104,"Drama,Romance",7.5,"12,874",70ed2948-fca0-42ab-8421-51bc760a62d4
88,Pygmalion,1938,89,"Comedy,Drama,Romance",7.8,"8,321",31a7d601-261c-478d-969c-5f64d33d531d
89,Test Pilot,1938,119,"Drama,Romance",6.9,"2,323",ce4b4264-affe-4e48-9d0b-49b6532449b2
90,Gone with the Wind,1939,238,"Drama,History,Romance",8.1,"300,592",bcad3809-e6ad-471a-8e05-1035efaaaaf4
91,Dark Victory,1939,104,"Drama,Romance",7.5,"10,648",ae377884-4d60-47f5-893a-1d2577eb6405
92,"Goodbye, Mr. Chips",1939,114,"Drama,Romance",7.9,"10,164",72360bec-f930-4772-beac-21bee3e92055
93,Love Affair,1939,88,"Comedy,Drama,Romance",7.3,"4,857",c04357fe-39cc-414f-b871-94be98bc38ed
94,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,"110,984",38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
95,Ninotchka,1939,110,"Comedy,Romance",7.9,"19,988",62d27610-e080-4569-9260-c7883e13adbc
96,Of Mice and Men,1939,106,"Adventure,Drama",7.9,"5,813",45488a28-fbf5-4264-944a-d0daa7030486
97,Stagecoach,1939,96,"Adventure,Drama,Western",7.9,"45,997",48e19755-7fc6-48d3-af96-7024e9f688ef
